feature,scale_factor,n_windows,median_relative_change_percent,q1_relative_change_percent,q3_relative_change_percent,max_absolute_difference,n_numerically_invariant,proportion_invariant
gi_kurtosis,0.5,60,0.0,0.0,0.0,0.0,60,1.0
gi_kurtosis,1.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_kurtosis,2.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_kurtosis,4.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_kurtosis,1.3,60,0.0,0.0,0.0,0.0,60,1.0
gi_kurtosis,7.1,60,0.0,0.0,0.0,0.0,60,1.0
gi_skewness,0.25,60,0.0,0.0,0.0,0.0,60,1.0
gi_skewness,0.5,60,0.0,0.0,0.0,0.0,60,1.0
gi_skewness,1.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_skewness,2.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_skewness,4.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_skewness,1.3,60,0.0,0.0,0.0,0.0,60,1.0
gi_skewness,7.1,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_auc,0.25,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_auc,0.5,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_auc,1.0,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_auc,2.0,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_auc,4.0,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_auc,1.3,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_auc,7.1,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_slope,0.25,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_slope,0.5,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_slope,1.0,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_slope,2.0,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_slope,4.0,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_slope,1.3,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_slope,7.1,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_centroid,0.25,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_centroid,0.5,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_centroid,1.0,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_centroid,2.0,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_centroid,4.0,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_centroid,1.3,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_centroid,7.1,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_sd,0.25,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_sd,0.5,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_sd,1.0,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_sd,2.0,60,0.0,0.0,0.0,0.0,60,1.0
gigrid_sd,4.0,60,0.0,0.0,0.0,0.0,60,1.0
